Energy_Source,Municipality,Month,Day_Type,Hour,Value
Solar_C1_Total,Agliè,Feb,Weekend,20,0
Solar_C1_Total,Agliè,Feb,Weekend,21,0
Solar_C1_Total,Agliè,Feb,Weekend,22,0
Solar_C1_Total,Agliè,Feb,Weekend,23,0
Solar_C1_Total,Agliè,Feb,Weekend,24,0
Solar_C1_Total,Agliè,Mar,Weekday,1,0
Solar_C1_Total,Agliè,Mar,Weekday,2,0
Solar_C1_Total,Agliè,Mar,Weekday,3,0
Solar_C1_Total,Agliè,Mar,Weekday,4,0
Solar_C1_Total,Agliè,Mar,Weekday,5,0
Solar_C1_Total,Agliè,Mar,Weekday,6,0
Solar_C1_Total,Agliè,Mar,Weekday,7,376.59073002699995
Solar_C1_Total,Agliè,Mar,Weekday,8,5973.177516128
Solar_C1_Total,Agliè,Mar,Weekday,9,9748.632355177
Solar_C1_Total,Agliè,Mar,Weekday,10,13064.141888126
Solar_C1_Total,Agliè,Mar,Weekday,11,16214.970896278
Solar_C1_Total,Agliè,Mar,Weekday,12,18208.738890501998
Solar_C1_Total,Agliè,Mar,Weekday,13,18136.468693781
Solar_C1_Total,Agliè,Mar,Weekday,14,17178.426955914
Solar_C1_Total,Agliè,Mar,Weekday,15,14154.751669025
Solar_C1_Total,Agliè,Mar,Weekday,16,10485.505179589
Solar_C1_Total,Agliè,Mar,Weekday,17,6545.12699034
Solar_C1_Total,Agliè,Mar,Weekday,18,158.412399801
Solar_C1_Total,Agliè,Mar,Weekday,19,0
Solar_C1_Total,Agliè,Mar,Weekday,20,0
Solar_C1_Total,Agliè,Mar,Weekday,21,0
Solar_C1_Total,Agliè,Mar,Weekday,22,0
Solar_C1_Total,Agliè,Mar,Weekday,23,0
Solar_C1_Total,Agliè,Mar,Weekday,24,0
Solar_C1_Total,Agliè,Mar,Weekend,1,0
Solar_C1_Total,Agliè,Mar,Weekend,2,0
Solar_C1_Total,Agliè,Mar,Weekend,3,0
Solar_C1_Total,Agliè,Mar,Weekend,4,0
Solar_C1_Total,Agliè,Mar,Weekend,5,0
Solar_C1_Total,Agliè,Mar,Weekend,6,0
Solar_C1_Total,Agliè,Mar,Weekend,7,376.59073002699995
Solar_C1_Total,Agliè,Mar,Weekend,8,5973.177516128
Solar_C1_Total,Agliè,Mar,Weekend,9,9748.632355177
Solar_C1_Total,Agliè,Mar,Weekend,10,13064.141888126
Solar_C1_Total,Agliè,Mar,Weekend,11,16214.970896278
Solar_C1_Total,Agliè,Mar,Weekend,12,18208.738890501998
Solar_C1_Total,Agliè,Mar,Weekend,13,18136.468693781
Solar_C1_Total,Agliè,Mar,Weekend,14,17178.426955914
Solar_C1_Total,Agliè,Mar,Weekend,15,14154.751669025
Solar_C1_Total,Agliè,Mar,Weekend,16,10485.505179589
Solar_C1_Total,Agliè,Mar,Weekend,17,6545.12699034
Solar_C1_Total,Agliè,Mar,Weekend,18,158.412399801
Solar_C1_Total,Agliè,Mar,Weekend,19,0
Solar_C1_Total,Agliè,Mar,Weekend,20,0
Solar_C1_Total,Agliè,Mar,Weekend,21,0
Solar_C1_Total,Agliè,Mar,Weekend,22,0
Solar_C1_Total,Agliè,Mar,Weekend,23,0
Solar_C1_Total,Agliè,Mar,Weekend,24,0
Solar_C1_Total,Agliè,Apr,Weekday,1,0
Solar_C1_Total,Agliè,Apr,Weekday,2,0
Solar_C1_Total,Agliè,Apr,Weekday,3,0
Solar_C1_Total,Agliè,Apr,Weekday,4,0
Solar_C1_Total,Agliè,Apr,Weekday,5,0
Solar_C1_Total,Agliè,Apr,Weekday,6,47.92124768
Solar_C1_Total,Agliè,Apr,Weekday,7,7993.890271859999
Solar_C1_Total,Agliè,Apr,Weekday,8,12982.918922166999
Solar_C1_Total,Agliè,Apr,Weekday,9,16147.449163280002
Solar_C1_Total,Agliè,Apr,Weekday,10,20671.678615841003
Solar_C1_Total,Agliè,Apr,Weekday,11,26371.658711502998
Solar_C1_Total,Agliè,Apr,Weekday,12,28035.505595017
Solar_C1_Total,Agliè,Apr,Weekday,13,29365.498559421
Solar_C1_Total,Agliè,Apr,Weekday,14,27411.780945981
Solar_C1_Total,Agliè,Apr,Weekday,15,21097.052618618
Solar_C1_Total,Agliè,Apr,Weekday,16,16392.177852165
Solar_C1_Total,Agliè,Apr,Weekday,17,12784.691669995002
Solar_C1_Total,Agliè,Apr,Weekday,18,6457.082166586
Solar_C1_Total,Agliè,Apr,Weekday,19,0
Solar_C1_Total,Agliè,Apr,Weekday,20,0
Solar_C1_Total,Agliè,Apr,Weekday,21,0
Solar_C1_Total,Agliè,Apr,Weekday,22,0
Solar_C1_Total,Agliè,Apr,Weekday,23,0
Solar_C1_Total,Agliè,Apr,Weekday,24,0
Solar_C1_Total,Agliè,Apr,Weekend,1,0
Solar_C1_Total,Agliè,Apr,Weekend,2,0
Solar_C1_Total,Agliè,Apr,Weekend,3,0
Solar_C1_Total,Agliè,Apr,Weekend,4,0
Solar_C1_Total,Agliè,Apr,Weekend,5,0
Solar_C1_Total,Agliè,Apr,Weekend,6,47.92124768
Solar_C1_Total,Agliè,Apr,Weekend,7,7993.890271859999
Solar_C1_Total,Agliè,Apr,Weekend,8,12982.918922166999
Solar_C1_Total,Agliè,Apr,Weekend,9,16147.449163280002
Solar_C1_Total,Agliè,Apr,Weekend,10,20671.678615841003
Solar_C1_Total,Agliè,Apr,Weekend,11,26371.658711502998
Solar_C1_Total,Agliè,Apr,Weekend,12,28035.505595017
Solar_C1_Total,Agliè,Apr,Weekend,13,29365.498559421
Solar_C1_Total,Agliè,Apr,Weekend,14,27411.780945981
Solar_C1_Total,Agliè,Apr,Weekend,15,21097.052618618
Solar_C1_Total,Agliè,Apr,Weekend,16,16392.177852165
Solar_C1_Total,Agliè,Apr,Weekend,17,12784.691669995002
Solar_C1_Total,Agliè,Apr,Weekend,18,6457.082166586
Solar_C1_Total,Agliè,Apr,Weekend,19,0
Solar_C1_Total,Agliè,Apr,Weekend,20,0
Solar_C1_Total,Agliè,Apr,Weekend,21,0
Solar_C1_Total,Agliè,Apr,Weekend,22,0
Solar_C1_Total,Agliè,Apr,Weekend,23,0
Solar_C1_Total,Agliè,Apr,Weekend,24,0
Solar_C1_Total,Agliè,May,Weekday,1,0
Solar_C1_Total,Agliè,May,Weekday,2,0
Solar_C1_Total,Agliè,May,Weekday,3,0
Solar_C1_Total,Agliè,May,Weekday,4,0
Solar_C1_Total,Agliè,May,Weekday,5,0.0
Solar_C1_Total,Agliè,May,Weekday,6,5391.429387342
Solar_C1_Total,Agliè,May,Weekday,7,9748.226073042999
Solar_C1_Total,Agliè,May,Weekday,8,13484.137663902
Solar_C1_Total,Agliè,May,Weekday,9,17725.565459154
Solar_C1_Total,Agliè,May,Weekday,10,25988.352792351998
Solar_C1_Total,Agliè,May,Weekday,11,30491.984561195
Solar_C1_Total,Agliè,May,Weekday,12,33350.841944536
Solar_C1_Total,Agliè,May,Weekday,13,33003.438902393
Solar_C1_Total,Agliè,May,Weekday,14,30565.098044332
Solar_C1_Total,Agliè,May,Weekday,15,26987.524945739002
Solar_C1_Total,Agliè,May,Weekday,16,21810.956706468
Solar_C1_Total,Agliè,May,Weekday,17,15533.623814507999
Solar_C1_Total,Agliè,May,Weekday,18,9398.886280321
Solar_C1_Total,Agliè,May,Weekday,19,2435.8360357009997
Solar_C1_Total,Agliè,May,Weekday,20,0
Solar_C1_Total,Agliè,May,Weekday,21,0
Solar_C1_Total,Agliè,May,Weekday,22,0
Solar_C1_Total,Agliè,May,Weekday,23,0
Solar_C1_Total,Agliè,May,Weekday,24,0
Solar_C1_Total,Agliè,May,Weekend,1,0
Solar_C1_Total,Agliè,May,Weekend,2,0
Solar_C1_Total,Agliè,May,Weekend,3,0
Solar_C1_Total,Agliè,May,Weekend,4,0
Solar_C1_Total,Agliè,May,Weekend,5,0.0
Solar_C1_Total,Agliè,May,Weekend,6,5391.429387342
Solar_C1_Total,Agliè,May,Weekend,7,9748.226073042999
Solar_C1_Total,Agliè,May,Weekend,8,13484.137663902
Solar_C1_Total,Agliè,May,Weekend,9,17725.565459154
Solar_C1_Total,Agliè,May,Weekend,10,25988.352792351998
Solar_C1_Total,Agliè,May,Weekend,11,30491.984561195
Solar_C1_Total,Agliè,May,Weekend,12,33350.841944536
Solar_C1_Total,Agliè,May,Weekend,13,33003.438902393
Solar_C1_Total,Agliè,May,Weekend,14,30565.098044332
Solar_C1_Total,Agliè,May,Weekend,15,26987.524945739002
Solar_C1_Total,Agliè,May,Weekend,16,21810.956706468
Solar_C1_Total,Agliè,May,Weekend,17,15533.623814507999
Solar_C1_Total,Agliè,May,Weekend,18,9398.886280321
Solar_C1_Total,Agliè,May,Weekend,19,2435.8360357009997
Solar_C1_Total,Agliè,May,Weekend,20,0
